,intolerance,Run,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B),Avg pct similar neighbors (B) (count empty),Avg pct similar neighbors (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct Happy,Pct Happy Group A,Pct Happy Group B,height,width,num_agents,minority_pc
0,0.125,0,56.4,63.3,54.8,46.2,41.0,49.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
1,0.125,1,54.7,62.6,54.6,43.0,37.5,47.8,350,210,140,100.0,100.0,100.0,20,20,350,0.4
2,0.125,2,52.7,60.6,52.9,40.8,35.8,46.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
3,0.125,3,51.4,59.0,50.7,40.3,36.0,44.8,350,210,140,100.0,100.0,100.0,20,20,350,0.4
4,0.125,4,51.1,59.1,51.8,39.2,34.7,45.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
5,0.125,5,51.7,59.3,51.1,40.7,36.2,45.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
6,0.125,6,51.9,60.2,52.4,39.5,34.6,45.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
7,0.125,7,51.3,59.2,51.7,39.7,35.3,45.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
8,0.125,8,51.0,59.3,52.0,38.5,33.7,44.7,350,210,140,100.0,100.0,100.0,20,20,350,0.4
9,0.125,9,53.8,61.1,53.2,43.2,38.7,47.4,350,210,140,100.0,100.0,100.0,20,20,350,0.4
10,0.25,10,56.4,62.1,52.6,48.7,45.7,49.9,350,210,140,100.0,100.0,100.0,20,20,350,0.4
11,0.25,11,63.9,69.1,59.2,56.5,51.6,56.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
12,0.25,12,57.8,63.7,54.4,49.6,45.8,51.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
13,0.25,13,60.5,65.1,53.9,54.6,52.6,53.4,350,210,140,100.0,100.0,100.0,20,20,350,0.4
14,0.25,14,55.9,62.1,53.0,47.4,43.8,49.3,350,210,140,100.0,100.0,100.0,20,20,350,0.4
15,0.25,15,56.8,63.1,53.9,48.0,43.9,49.9,350,210,140,100.0,100.0,100.0,20,20,350,0.4
16,0.25,16,58.1,64.2,55.0,49.6,45.4,51.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
17,0.25,17,57.6,63.3,53.8,49.8,46.5,50.9,350,210,140,100.0,100.0,100.0,20,20,350,0.4
