,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,315,35,0.1,0.625
1,82.0,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,315,35,0.1,0.625
2,86.3,95.6,2.9,83.0,90.2,13.0,72.6,79.5,10.7,350,315,35,0.1,0.625
3,86.6,96.2,0.0,85.1,92.1,15.4,76.0,83.1,12.5,350,315,35,0.1,0.625
4,86.3,95.6,2.9,87.8,93.4,27.5,78.0,84.4,20.7,350,315,35,0.1,0.625
5,87.4,97.1,0.0,87.3,92.9,24.0,78.5,85.2,17.5,350,315,35,0.1,0.625
6,87.4,96.2,8.6,89.2,94.3,28.6,79.5,86.1,20.0,350,315,35,0.1,0.625
7,87.7,97.5,0.0,88.6,93.4,31.5,80.1,86.5,22.1,350,315,35,0.1,0.625
8,87.7,97.1,2.9,88.1,93.2,26.5,80.1,86.9,18.6,350,315,35,0.1,0.625
9,88.3,97.5,5.7,88.9,93.7,31.6,80.3,86.8,22.1,350,315,35,0.1,0.625
10,89.1,97.8,11.4,90.1,94.7,31.9,80.9,87.5,21.1,350,315,35,0.1,0.625
11,89.4,98.7,5.7,91.2,95.3,38.7,82.1,88.3,25.7,350,315,35,0.1,0.625
12,90.3,99.4,8.6,91.4,94.7,45.7,82.6,88.7,28.2,350,315,35,0.1,0.625
13,91.7,100.0,17.1,91.4,95.6,37.6,83.0,89.4,25.0,350,315,35,0.1,0.625
14,91.1,100.0,11.4,92.4,95.8,47.8,83.8,89.8,30.4,350,315,35,0.1,0.625
