,RunId,iteration,Step,height,width,density,minority_pc,homophily,happy
0,0,0,0,20,20,0.8,0.4,0,0
1,1,0,0,20,20,0.8,0.4,1,0
2,1,0,1,20,20,0.8,0.4,1,312
3,2,0,0,20,20,0.8,0.4,2,0
4,2,0,1,20,20,0.8,0.4,2,278
5,2,0,2,20,20,0.8,0.4,2,299
6,2,0,3,20,20,0.8,0.4,2,303
7,2,0,4,20,20,0.8,0.4,2,310
8,2,0,5,20,20,0.8,0.4,2,311
9,2,0,6,20,20,0.8,0.4,2,311
10,2,0,7,20,20,0.8,0.4,2,311
11,2,0,8,20,20,0.8,0.4,2,311
12,2,0,9,20,20,0.8,0.4,2,311
13,3,0,0,20,20,0.8,0.4,3,0
14,3,0,1,20,20,0.8,0.4,3,241
15,3,0,2,20,20,0.8,0.4,3,288
16,3,0,3,20,20,0.8,0.4,3,307
17,3,0,4,20,20,0.8,0.4,3,311
18,3,0,5,20,20,0.8,0.4,3,314
19,3,0,6,20,20,0.8,0.4,3,321
20,3,0,7,20,20,0.8,0.4,3,325
21,3,0,8,20,20,0.8,0.4,3,327
22,3,0,9,20,20,0.8,0.4,3,328
23,4,0,0,20,20,0.8,0.4,4,0
24,4,0,1,20,20,0.8,0.4,4,136
25,4,0,2,20,20,0.8,0.4,4,196
26,4,0,3,20,20,0.8,0.4,4,235
27,4,0,4,20,20,0.8,0.4,4,248
28,4,0,5,20,20,0.8,0.4,4,268
29,4,0,6,20,20,0.8,0.4,4,273
30,4,0,7,20,20,0.8,0.4,4,285
31,4,0,8,20,20,0.8,0.4,4,290
32,4,0,9,20,20,0.8,0.4,4,286
33,4,0,10,20,20,0.8,0.4,4,284
34,4,0,11,20,20,0.8,0.4,4,287
35,4,0,12,20,20,0.8,0.4,4,289
36,4,0,13,20,20,0.8,0.4,4,287
37,4,0,14,20,20,0.8,0.4,4,292
38,4,0,15,20,20,0.8,0.4,4,296
39,4,0,16,20,20,0.8,0.4,4,297
40,4,0,17,20,20,0.8,0.4,4,299
41,4,0,18,20,20,0.8,0.4,4,300
42,4,0,19,20,20,0.8,0.4,4,298
43,4,0,20,20,20,0.8,0.4,4,300
44,4,0,21,20,20,0.8,0.4,4,303
45,4,0,22,20,20,0.8,0.4,4,300
46,4,0,23,20,20,0.8,0.4,4,300
47,4,0,24,20,20,0.8,0.4,4,303
48,4,0,25,20,20,0.8,0.4,4,304
49,4,0,26,20,20,0.8,0.4,4,304
50,4,0,27,20,20,0.8,0.4,4,305
51,4,0,28,20,20,0.8,0.4,4,305
52,4,0,29,20,20,0.8,0.4,4,306
53,4,0,30,20,20,0.8,0.4,4,307
54,4,0,31,20,20,0.8,0.4,4,308
55,4,0,32,20,20,0.8,0.4,4,309
56,4,0,33,20,20,0.8,0.4,4,310
57,4,0,34,20,20,0.8,0.4,4,310
58,4,0,35,20,20,0.8,0.4,4,310
59,4,0,36,20,20,0.8,0.4,4,312
60,4,0,37,20,20,0.8,0.4,4,312
61,4,0,38,20,20,0.8,0.4,4,312
62,4,0,39,20,20,0.8,0.4,4,312
63,4,0,40,20,20,0.8,0.4,4,312
64,4,0,41,20,20,0.8,0.4,4,312
65,4,0,42,20,20,0.8,0.4,4,312
66,4,0,43,20,20,0.8,0.4,4,312
67,5,0,0,20,20,0.8,0.4,5,0
68,5,0,1,20,20,0.8,0.4,5,89
69,5,0,2,20,20,0.8,0.4,5,121
70,5,0,3,20,20,0.8,0.4,5,146
71,5,0,4,20,20,0.8,0.4,5,182
72,5,0,5,20,20,0.8,0.4,5,190
73,5,0,6,20,20,0.8,0.4,5,208
74,5,0,7,20,20,0.8,0.4,5,214
75,5,0,8,20,20,0.8,0.4,5,214
76,5,0,9,20,20,0.8,0.4,5,197
77,5,0,10,20,20,0.8,0.4,5,203
78,5,0,11,20,20,0.8,0.4,5,211
79,5,0,12,20,20,0.8,0.4,5,209
80,5,0,13,20,20,0.8,0.4,5,211
81,5,0,14,20,20,0.8,0.4,5,218
82,5,0,15,20,20,0.8,0.4,5,227
83,5,0,16,20,20,0.8,0.4,5,219
84,5,0,17,20,20,0.8,0.4,5,231
85,5,0,18,20,20,0.8,0.4,5,225
86,5,0,19,20,20,0.8,0.4,5,223
87,5,0,20,20,20,0.8,0.4,5,225
88,5,0,21,20,20,0.8,0.4,5,229
89,5,0,22,20,20,0.8,0.4,5,236
90,5,0,23,20,20,0.8,0.4,5,236
91,5,0,24,20,20,0.8,0.4,5,230
92,5,0,25,20,20,0.8,0.4,5,229
93,5,0,26,20,20,0.8,0.4,5,231
94,5,0,27,20,20,0.8,0.4,5,232
95,5,0,28,20,20,0.8,0.4,5,227
96,5,0,29,20,20,0.8,0.4,5,238
97,5,0,30,20,20,0.8,0.4,5,240
98,5,0,31,20,20,0.8,0.4,5,236
99,5,0,32,20,20,0.8,0.4,5,236
100,5,0,33,20,20,0.8,0.4,5,243
101,5,0,34,20,20,0.8,0.4,5,247
102,5,0,35,20,20,0.8,0.4,5,249
103,5,0,36,20,20,0.8,0.4,5,252
104,5,0,37,20,20,0.8,0.4,5,261
105,5,0,38,20,20,0.8,0.4,5,250
106,5,0,39,20,20,0.8,0.4,5,244
107,5,0,40,20,20,0.8,0.4,5,245
108,5,0,41,20,20,0.8,0.4,5,256
