,intolerance,Run,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B),Avg pct similar neighbors (B) (count empty),Avg pct similar neighbors (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct Happy,Pct Happy Group A,Pct Happy Group B,height,width,num_agents,minority_pc
0,0.125,0,51.7,59.7,52.4,40.0,35.4,45.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
1,0.125,1,52.9,60.2,51.8,42.4,38.1,46.3,350,210,140,100.0,100.0,100.0,20,20,350,0.4
2,0.125,2,52.2,60.4,52.7,39.9,34.9,45.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
3,0.125,3,53.9,61.6,53.6,42.6,37.7,47.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
4,0.125,4,54.7,62.1,53.7,43.8,38.7,47.7,350,210,140,100.0,100.0,100.0,20,20,350,0.4
5,0.125,5,51.3,59.4,51.4,39.3,34.6,44.7,350,210,140,100.0,100.0,100.0,20,20,350,0.4
6,0.125,6,51.1,59.4,52.3,38.4,33.7,44.8,350,210,140,100.0,100.0,100.0,20,20,350,0.4
7,0.125,7,53.5,61.1,53.1,42.1,37.1,46.7,350,210,140,100.0,100.0,100.0,20,20,350,0.4
8,0.125,8,53.0,60.7,52.9,41.6,36.6,46.4,350,210,140,100.0,100.0,100.0,20,20,350,0.4
9,0.125,9,51.4,59.2,51.0,39.9,35.2,44.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
10,0.25,10,54.1,60.9,53.3,44.5,41.2,48.5,350,210,140,100.0,100.0,100.0,20,20,350,0.4
11,0.25,11,59.8,65.7,56.1,51.4,46.6,52.3,350,210,140,100.0,100.0,100.0,20,20,350,0.4
12,0.25,12,55.5,62.0,53.3,46.3,42.4,49.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
13,0.25,13,57.0,63.2,53.9,48.4,44.6,50.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
14,0.25,14,64.9,69.7,59.5,58.2,54.1,57.4,350,210,140,100.0,100.0,100.0,20,20,350,0.4
15,0.25,15,56.8,63.1,53.9,48.0,43.8,49.9,350,210,140,100.0,100.0,100.0,20,20,350,0.4
16,0.25,16,58.3,63.7,53.2,51.1,47.7,51.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
