,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,262,88,0.25,0.25
1,90.6,100.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,350,262,88,0.25,0.25
2,93.4,100.0,73.9,63.4,75.5,28.8,55.8,65.7,26.1,350,262,88,0.25,0.25
3,94.9,100.0,79.5,65.3,76.7,33.8,57.1,65.7,31.2,350,262,88,0.25,0.25
4,96.0,100.0,84.1,66.1,77.1,35.9,57.6,65.7,33.4,350,262,88,0.25,0.25
5,96.9,100.0,87.5,66.0,76.8,36.9,57.9,65.7,34.7,350,262,88,0.25,0.25
6,97.1,100.0,88.6,66.5,77.3,37.6,58.1,65.7,35.5,350,262,88,0.25,0.25
7,96.6,100.0,86.4,66.7,77.0,39.3,58.6,65.7,37.4,350,262,88,0.25,0.25
8,97.1,100.0,88.6,66.6,77.4,38.0,58.3,65.7,36.2,350,262,88,0.25,0.25
9,97.1,100.0,88.6,66.4,76.9,38.6,58.5,65.7,36.9,350,262,88,0.25,0.25
10,96.9,100.0,87.5,66.8,77.2,39.2,58.6,65.7,37.5,350,262,88,0.25,0.25
11,97.4,100.0,89.8,66.7,77.0,39.2,58.6,65.7,37.5,350,262,88,0.25,0.25
12,98.0,100.0,92.0,66.7,77.2,39.4,58.8,65.7,38.2,350,262,88,0.25,0.25
13,97.7,100.0,90.9,67.3,77.7,40.3,59.0,65.7,39.1,350,262,88,0.25,0.25
14,97.7,100.0,90.9,66.9,77.1,39.9,58.9,65.7,38.5,350,262,88,0.25,0.25
15,97.7,100.0,90.9,67.1,77.4,40.2,59.0,65.7,38.9,350,262,88,0.25,0.25
16,97.7,100.0,90.9,67.2,77.5,40.4,59.0,65.7,39.1,350,262,88,0.25,0.25
17,97.7,100.0,90.9,66.7,77.0,39.8,58.9,65.7,38.5,350,262,88,0.25,0.25
18,97.7,100.0,90.9,67.3,77.5,40.7,59.1,65.7,39.5,350,262,88,0.25,0.25
19,97.7,100.0,90.9,67.0,77.1,40.2,58.9,65.7,38.6,350,262,88,0.25,0.25
20,97.7,100.0,90.9,67.1,77.4,40.2,59.0,65.7,38.9,350,262,88,0.25,0.25
21,97.7,100.0,90.9,66.9,77.2,39.8,58.8,65.7,38.1,350,262,88,0.25,0.25
22,98.0,100.0,92.0,67.0,77.2,40.1,59.0,65.7,38.8,350,262,88,0.25,0.25
23,98.3,100.0,93.2,66.9,76.8,40.6,59.1,65.7,39.2,350,262,88,0.25,0.25
24,98.3,100.0,93.2,66.9,77.2,40.1,59.0,65.7,39.1,350,262,88,0.25,0.25
25,98.3,100.0,93.2,67.1,77.2,40.5,59.1,65.7,39.2,350,262,88,0.25,0.25
26,98.3,100.0,93.2,67.0,77.1,40.6,59.1,65.7,39.5,350,262,88,0.25,0.25
27,98.3,100.0,93.2,67.1,77.3,40.5,59.1,65.7,39.2,350,262,88,0.25,0.25
28,98.3,100.0,93.2,67.0,77.2,40.2,59.0,65.7,38.9,350,262,88,0.25,0.25
29,98.3,100.0,93.2,67.1,77.3,40.4,59.1,65.7,39.2,350,262,88,0.25,0.25
30,98.3,100.0,93.2,67.0,77.1,40.3,59.0,65.7,38.9,350,262,88,0.25,0.25
31,98.3,100.0,93.2,67.1,77.3,40.3,59.0,65.7,39.1,350,262,88,0.25,0.25
32,98.3,100.0,93.2,67.1,77.2,40.6,59.1,65.7,39.3,350,262,88,0.25,0.25
33,98.3,100.0,93.2,67.0,77.3,40.2,59.0,65.7,38.9,350,262,88,0.25,0.25
34,98.3,100.0,93.2,67.2,77.3,40.8,59.1,65.7,39.5,350,262,88,0.25,0.25
35,98.3,100.0,93.2,66.8,76.8,40.4,59.1,65.7,39.2,350,262,88,0.25,0.25
36,98.3,100.0,93.2,67.1,77.3,40.5,59.1,65.7,39.5,350,262,88,0.25,0.25
37,98.6,100.0,94.3,66.9,77.1,40.2,59.0,65.7,38.9,350,262,88,0.25,0.25
38,98.6,100.0,94.3,67.1,77.3,40.6,59.1,65.7,39.5,350,262,88,0.25,0.25
39,98.6,100.0,94.3,67.0,77.2,40.7,59.2,65.7,39.8,350,262,88,0.25,0.25
40,98.3,100.0,93.2,67.2,77.3,41.0,59.2,65.7,39.8,350,262,88,0.25,0.25
41,98.3,100.0,93.2,67.1,77.2,40.7,59.1,65.7,39.5,350,262,88,0.25,0.25
42,98.3,100.0,93.2,67.1,77.4,40.0,59.0,65.7,38.8,350,262,88,0.25,0.25
43,98.3,100.0,93.2,67.1,77.1,40.6,59.0,65.7,39.1,350,262,88,0.25,0.25
44,98.3,100.0,93.2,67.2,77.4,40.3,59.0,65.7,38.9,350,262,88,0.25,0.25
45,98.3,100.0,93.2,67.1,77.3,40.4,59.0,65.7,39.1,350,262,88,0.25,0.25
46,98.3,100.0,93.2,66.7,76.8,40.3,59.1,65.7,39.2,350,262,88,0.25,0.25
47,98.3,100.0,93.2,66.9,77.3,39.8,58.9,65.7,38.6,350,262,88,0.25,0.25
48,98.3,100.0,93.2,67.4,77.5,40.8,59.1,65.7,39.3,350,262,88,0.25,0.25
49,98.3,100.0,93.2,67.1,77.2,40.2,58.9,65.7,38.6,350,262,88,0.25,0.25
50,98.3,100.0,93.2,67.0,77.3,40.0,58.9,65.7,38.6,350,262,88,0.25,0.25
51,98.3,100.0,93.2,67.0,77.2,40.3,59.0,65.7,38.9,350,262,88,0.25,0.25
52,98.3,100.0,93.2,66.9,77.2,40.1,59.0,65.7,38.9,350,262,88,0.25,0.25
53,98.3,100.0,93.2,67.1,77.3,40.4,59.0,65.7,39.1,350,262,88,0.25,0.25
54,98.3,100.0,93.2,67.2,77.5,40.2,59.0,65.7,38.9,350,262,88,0.25,0.25
55,98.3,100.0,93.2,67.3,77.5,40.6,59.1,65.7,39.2,350,262,88,0.25,0.25
56,98.3,100.0,93.2,67.0,77.2,40.3,59.0,65.7,39.1,350,262,88,0.25,0.25
57,98.3,100.0,93.2,66.9,77.1,40.4,59.1,65.7,39.2,350,262,88,0.25,0.25
58,98.3,100.0,93.2,66.9,77.2,40.1,58.9,65.7,38.6,350,262,88,0.25,0.25
59,98.3,100.0,93.2,67.0,77.1,40.3,59.0,65.7,39.1,350,262,88,0.25,0.25
60,98.3,100.0,93.2,67.0,77.2,40.3,59.0,65.7,39.1,350,262,88,0.25,0.25
61,99.1,100.0,96.6,67.0,77.3,40.3,59.0,65.7,39.1,350,262,88,0.25,0.25
62,99.1,100.0,96.6,67.3,77.3,41.0,59.2,65.7,39.6,350,262,88,0.25,0.25
63,99.1,100.0,96.6,67.1,77.2,40.6,59.1,65.7,39.5,350,262,88,0.25,0.25
64,99.1,100.0,96.6,67.3,77.4,41.0,59.2,65.7,39.9,350,262,88,0.25,0.25
65,99.1,100.0,96.6,67.4,77.5,41.0,59.2,65.7,39.9,350,262,88,0.25,0.25
66,99.4,100.0,97.7,67.2,77.2,41.3,59.4,65.7,40.3,350,262,88,0.25,0.25
67,100.0,100.0,100.0,67.4,77.5,41.1,59.2,65.7,39.9,350,262,88,0.25,0.25
68,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
69,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
70,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
71,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
72,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
73,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
74,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
75,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
76,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
77,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
78,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
79,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
80,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
81,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
82,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
83,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
84,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
85,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
86,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
87,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
88,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
89,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
90,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
91,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
92,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
93,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
94,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
95,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
96,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
97,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
98,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
99,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
100,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
101,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
102,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
103,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
104,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
105,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
106,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
107,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
108,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
109,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
110,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
111,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
112,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
113,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
114,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
115,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
116,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
117,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
118,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
119,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
120,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
121,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
122,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
123,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
124,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
125,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
126,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
127,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
128,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
129,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
130,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
131,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
132,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
133,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
134,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
135,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
136,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
137,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
138,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
139,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
140,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
141,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
142,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
143,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
144,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
145,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
146,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
147,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
148,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
149,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
150,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
151,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
152,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
153,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
154,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
155,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
156,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
157,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
