,RunId,iteration,Step,schedule_type,Cooperating_Agents,Avg score,seed
0,0,0,30,Random,2477,169.92968,0.704865666242438
1,1,0,30,Simultaneous,2269,102.78544,0.12584765691365807
2,2,1,30,Random,2428,193.66072000000003,0.9327131828331908
3,3,1,30,Simultaneous,2059,81.67712,0.15786287928024656
4,4,2,30,Random,2484,171.29536000000002,0.7209845744527134
5,5,2,30,Simultaneous,0,5.47968,0.5008052567264959
6,6,3,30,Random,2468,181.9484,0.1192148116675561
7,7,3,30,Simultaneous,0,5.34096,0.05107705917344996
8,8,4,30,Random,2493,193.14911999999998,0.22117158053074404
9,9,4,30,Simultaneous,2178,95.41264,0.011140275140731015
10,10,5,30,Random,2425,192.95408,0.73838170328185
11,11,5,30,Simultaneous,2150,94.01632,0.8704304384112123
12,12,6,30,Random,2489,143.4276,0.27014137812180694
13,13,6,30,Simultaneous,0,5.92848,0.08873218304137542
14,14,7,30,Random,2474,154.80008,0.27820993005939254
15,15,7,30,Simultaneous,0,5.322080000000001,0.9711594430750828
16,16,8,30,Random,2481,187.21416000000002,0.3260444392020102
17,17,8,30,Simultaneous,1703,62.1424,0.6671771818866165
18,18,9,30,Random,2482,174.7856,0.6600790630253883
19,19,9,30,Simultaneous,2029,77.15008,0.14963096508285345
