grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
25,2,18,0,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,1,400,0,2,20,20,100,50,0.04,0.05,True
25,2,18,2,400,0,0,20,20,100,50,0.04,0.05,True
25,2,18,3,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,4,400,0,2,20,20,100,50,0.04,0.05,True
25,2,18,5,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,6,400,0,0,20,20,100,50,0.04,0.05,True
25,2,18,7,400,0,2,20,20,100,50,0.04,0.05,True
25,2,18,8,400,0,2,20,20,100,50,0.04,0.05,True
25,2,18,9,400,0,4,20,20,100,50,0.04,0.05,True
25,2,20,10,390,0,0,20,20,100,50,0.04,0.05,True
25,2,20,11,400,0,1,20,20,100,50,0.04,0.05,True
25,2,20,12,400,0,2,20,20,100,50,0.04,0.05,True
25,2,20,13,379,2,1,20,20,100,50,0.04,0.05,True
25,2,20,14,400,0,4,20,20,100,50,0.04,0.05,True
25,2,20,15,400,0,5,20,20,100,50,0.04,0.05,True
25,2,20,16,400,0,2,20,20,100,50,0.04,0.05,True
25,2,20,17,400,0,3,20,20,100,50,0.04,0.05,True
25,2,20,18,400,0,0,20,20,100,50,0.04,0.05,True
25,2,20,19,400,0,4,20,20,100,50,0.04,0.05,True
25,2,22,20,400,0,2,20,20,100,50,0.04,0.05,True
25,2,22,21,400,0,5,20,20,100,50,0.04,0.05,True
25,2,22,22,400,0,2,20,20,100,50,0.04,0.05,True
25,2,22,23,400,0,2,20,20,100,50,0.04,0.05,True
25,2,22,24,400,0,11,20,20,100,50,0.04,0.05,True
25,2,22,25,400,0,3,20,20,100,50,0.04,0.05,True
25,2,22,26,400,0,4,20,20,100,50,0.04,0.05,True
25,2,22,27,400,0,10,20,20,100,50,0.04,0.05,True
25,2,22,28,400,0,3,20,20,100,50,0.04,0.05,True
25,2,22,29,400,0,1,20,20,100,50,0.04,0.05,True
25,2,24,30,400,0,10,20,20,100,50,0.04,0.05,True
25,2,24,31,400,0,3,20,20,100,50,0.04,0.05,True
25,2,24,32,400,0,3,20,20,100,50,0.04,0.05,True
25,2,24,33,396,0,20,20,20,100,50,0.04,0.05,True
25,2,24,34,400,0,11,20,20,100,50,0.04,0.05,True
25,2,24,35,400,0,8,20,20,100,50,0.04,0.05,True
25,2,24,36,400,0,8,20,20,100,50,0.04,0.05,True
25,2,24,37,400,0,16,20,20,100,50,0.04,0.05,True
25,2,24,38,400,0,7,20,20,100,50,0.04,0.05,True
25,2,24,39,400,0,7,20,20,100,50,0.04,0.05,True
25,2,26,40,400,0,14,20,20,100,50,0.04,0.05,True
25,2,26,41,384,1,16,20,20,100,50,0.04,0.05,True
25,2,26,42,400,0,7,20,20,100,50,0.04,0.05,True
25,2,26,43,400,0,5,20,20,100,50,0.04,0.05,True
25,2,26,44,400,0,12,20,20,100,50,0.04,0.05,True
25,2,26,45,387,1,10,20,20,100,50,0.04,0.05,True
25,2,26,46,400,0,13,20,20,100,50,0.04,0.05,True
25,2,26,47,400,0,8,20,20,100,50,0.04,0.05,True
25,2,26,48,400,0,5,20,20,100,50,0.04,0.05,True
25,2,26,49,400,0,10,20,20,100,50,0.04,0.05,True
25,3,18,50,400,0,3,20,20,100,50,0.04,0.05,True
25,3,18,51,382,0,3,20,20,100,50,0.04,0.05,True
25,3,18,52,400,0,4,20,20,100,50,0.04,0.05,True
25,3,18,53,397,0,4,20,20,100,50,0.04,0.05,True
25,3,18,54,400,0,6,20,20,100,50,0.04,0.05,True
25,3,18,55,398,0,8,20,20,100,50,0.04,0.05,True
25,3,18,56,370,3,8,20,20,100,50,0.04,0.05,True
25,3,18,57,400,0,1,20,20,100,50,0.04,0.05,True
25,3,18,58,377,2,2,20,20,100,50,0.04,0.05,True
25,3,18,59,344,5,5,20,20,100,50,0.04,0.05,True
25,3,20,60,381,1,9,20,20,100,50,0.04,0.05,True
25,3,20,61,400,0,8,20,20,100,50,0.04,0.05,True
25,3,20,62,400,0,3,20,20,100,50,0.04,0.05,True
25,3,20,63,400,0,11,20,20,100,50,0.04,0.05,True
25,3,20,64,400,0,11,20,20,100,50,0.04,0.05,True
25,3,20,65,385,1,9,20,20,100,50,0.04,0.05,True
25,3,20,66,388,1,10,20,20,100,50,0.04,0.05,True
25,3,20,67,382,2,4,20,20,100,50,0.04,0.05,True
25,3,20,68,367,2,14,20,20,100,50,0.04,0.05,True
25,3,20,69,400,0,8,20,20,100,50,0.04,0.05,True
25,3,22,70,376,3,14,20,20,100,50,0.04,0.05,True
25,3,22,71,400,0,12,20,20,100,50,0.04,0.05,True
25,3,22,72,400,0,3,20,20,100,50,0.04,0.05,True
25,3,22,73,382,1,13,20,20,100,50,0.04,0.05,True
25,3,22,74,383,0,12,20,20,100,50,0.04,0.05,True
25,3,22,75,400,0,4,20,20,100,50,0.04,0.05,True
25,3,22,76,385,1,6,20,20,100,50,0.04,0.05,True
25,3,22,77,400,0,8,20,20,100,50,0.04,0.05,True
25,3,22,78,397,0,11,20,20,100,50,0.04,0.05,True
25,3,22,79,400,0,11,20,20,100,50,0.04,0.05,True
25,3,24,80,390,0,7,20,20,100,50,0.04,0.05,True
25,3,24,81,400,0,6,20,20,100,50,0.04,0.05,True
25,3,24,82,393,0,17,20,20,100,50,0.04,0.05,True
25,3,24,83,400,0,16,20,20,100,50,0.04,0.05,True
25,3,24,84,400,0,3,20,20,100,50,0.04,0.05,True
25,3,24,85,390,0,21,20,20,100,50,0.04,0.05,True
25,3,24,86,400,0,15,20,20,100,50,0.04,0.05,True
25,3,24,87,400,0,11,20,20,100,50,0.04,0.05,True
25,3,24,88,400,0,7,20,20,100,50,0.04,0.05,True
25,3,24,89,392,0,6,20,20,100,50,0.04,0.05,True
25,3,26,90,360,4,29,20,20,100,50,0.04,0.05,True
25,3,26,91,386,1,17,20,20,100,50,0.04,0.05,True
25,3,26,92,379,2,17,20,20,100,50,0.04,0.05,True
25,3,26,93,400,0,9,20,20,100,50,0.04,0.05,True
25,3,26,94,400,0,23,20,20,100,50,0.04,0.05,True
25,3,26,95,400,0,11,20,20,100,50,0.04,0.05,True
25,3,26,96,400,0,19,20,20,100,50,0.04,0.05,True
25,3,26,97,400,0,33,20,20,100,50,0.04,0.05,True
25,3,26,98,391,0,18,20,20,100,50,0.04,0.05,True
25,3,26,99,400,0,7,20,20,100,50,0.04,0.05,True
25,4,18,100,323,7,7,20,20,100,50,0.04,0.05,True
25,4,18,101,387,1,7,20,20,100,50,0.04,0.05,True
25,4,18,102,349,3,7,20,20,100,50,0.04,0.05,True
25,4,18,103,379,3,7,20,20,100,50,0.04,0.05,True
