Run Num,Grass Regrowth,Sheep Gain,Wolf Gain,Animal,Step Num,Count
0,25,2,18,Wolves,0,50
0,25,2,18,Sheep,0,100
0,25,2,18,Grass,0,214
1,25,2,18,Wolves,0,50
1,25,2,18,Sheep,0,100
1,25,2,18,Grass,0,213
2,25,2,18,Wolves,0,50
2,25,2,18,Sheep,0,100
2,25,2,18,Grass,0,188
3,25,2,18,Wolves,0,50
3,25,2,18,Sheep,0,100
3,25,2,18,Grass,0,202
4,25,2,18,Wolves,0,50
4,25,2,18,Sheep,0,100
4,25,2,18,Grass,0,184
5,25,2,18,Wolves,0,50
5,25,2,18,Sheep,0,100
5,25,2,18,Grass,0,196
6,25,2,18,Wolves,0,50
6,25,2,18,Sheep,0,100
6,25,2,18,Grass,0,200
7,25,2,18,Wolves,0,50
7,25,2,18,Sheep,0,100
7,25,2,18,Grass,0,213
8,25,2,18,Wolves,0,50
8,25,2,18,Sheep,0,100
8,25,2,18,Grass,0,199
9,25,2,18,Wolves,0,50
9,25,2,18,Sheep,0,100
9,25,2,18,Grass,0,196
10,25,2,20,Wolves,0,50
10,25,2,20,Sheep,0,100
10,25,2,20,Grass,0,200
11,25,2,20,Wolves,0,50
11,25,2,20,Sheep,0,100
11,25,2,20,Grass,0,201
12,25,2,20,Wolves,0,50
12,25,2,20,Sheep,0,100
12,25,2,20,Grass,0,187
13,25,2,20,Wolves,0,50
13,25,2,20,Sheep,0,100
13,25,2,20,Grass,0,178
14,25,2,20,Wolves,0,50
14,25,2,20,Sheep,0,100
14,25,2,20,Grass,0,213
15,25,2,20,Wolves,0,50
15,25,2,20,Sheep,0,100
15,25,2,20,Grass,0,205
16,25,2,20,Wolves,0,50
16,25,2,20,Sheep,0,100
16,25,2,20,Grass,0,201
17,25,2,20,Wolves,0,50
17,25,2,20,Sheep,0,100
17,25,2,20,Grass,0,206
18,25,2,20,Wolves,0,50
18,25,2,20,Sheep,0,100
18,25,2,20,Grass,0,194
19,25,2,20,Wolves,0,50
19,25,2,20,Sheep,0,100
19,25,2,20,Grass,0,214
20,25,2,22,Wolves,0,50
20,25,2,22,Sheep,0,100
20,25,2,22,Grass,0,199
21,25,2,22,Wolves,0,50
21,25,2,22,Sheep,0,100
21,25,2,22,Grass,0,198
22,25,2,22,Wolves,0,50
22,25,2,22,Sheep,0,100
22,25,2,22,Grass,0,190
23,25,2,22,Wolves,0,50
23,25,2,22,Sheep,0,100
23,25,2,22,Grass,0,174
24,25,2,22,Wolves,0,50
24,25,2,22,Sheep,0,100
24,25,2,22,Grass,0,193
25,25,2,22,Wolves,0,50
25,25,2,22,Sheep,0,100
25,25,2,22,Grass,0,194
26,25,2,22,Wolves,0,50
26,25,2,22,Sheep,0,100
26,25,2,22,Grass,0,184
27,25,2,22,Wolves,0,50
27,25,2,22,Sheep,0,100
27,25,2,22,Grass,0,202
28,25,2,22,Wolves,0,50
28,25,2,22,Sheep,0,100
28,25,2,22,Grass,0,225
29,25,2,22,Wolves,0,50
29,25,2,22,Sheep,0,100
29,25,2,22,Grass,0,201
30,25,2,24,Wolves,0,50
30,25,2,24,Sheep,0,100
30,25,2,24,Grass,0,199
31,25,2,24,Wolves,0,50
31,25,2,24,Sheep,0,100
31,25,2,24,Grass,0,195
32,25,2,24,Wolves,0,50
32,25,2,24,Sheep,0,100
32,25,2,24,Grass,0,205
33,25,2,24,Wolves,0,50
33,25,2,24,Sheep,0,100
33,25,2,24,Grass,0,192
34,25,2,24,Wolves,0,50
34,25,2,24,Sheep,0,100
34,25,2,24,Grass,0,204
35,25,2,24,Wolves,0,50
35,25,2,24,Sheep,0,100
35,25,2,24,Grass,0,188
36,25,2,24,Wolves,0,50
36,25,2,24,Sheep,0,100
36,25,2,24,Grass,0,189
37,25,2,24,Wolves,0,50
37,25,2,24,Sheep,0,100
37,25,2,24,Grass,0,211
38,25,2,24,Wolves,0,50
38,25,2,24,Sheep,0,100
38,25,2,24,Grass,0,212
39,25,2,24,Wolves,0,50
39,25,2,24,Sheep,0,100
39,25,2,24,Grass,0,204
40,25,2,26,Wolves,0,50
40,25,2,26,Sheep,0,100
40,25,2,26,Grass,0,190
41,25,2,26,Wolves,0,50
41,25,2,26,Sheep,0,100
41,25,2,26,Grass,0,185
42,25,2,26,Wolves,0,50
42,25,2,26,Sheep,0,100
42,25,2,26,Grass,0,203
43,25,2,26,Wolves,0,50
43,25,2,26,Sheep,0,100
43,25,2,26,Grass,0,194
44,25,2,26,Wolves,0,50
44,25,2,26,Sheep,0,100
44,25,2,26,Grass,0,194
45,25,2,26,Wolves,0,50
45,25,2,26,Sheep,0,100
45,25,2,26,Grass,0,184
46,25,2,26,Wolves,0,50
46,25,2,26,Sheep,0,100
46,25,2,26,Grass,0,203
47,25,2,26,Wolves,0,50
47,25,2,26,Sheep,0,100
47,25,2,26,Grass,0,184
48,25,2,26,Wolves,0,50
48,25,2,26,Sheep,0,100
48,25,2,26,Grass,0,210
49,25,2,26,Wolves,0,50
49,25,2,26,Sheep,0,100
49,25,2,26,Grass,0,194
50,25,3,18,Wolves,0,50
50,25,3,18,Sheep,0,100
50,25,3,18,Grass,0,209
51,25,3,18,Wolves,0,50
51,25,3,18,Sheep,0,100
51,25,3,18,Grass,0,217
52,25,3,18,Wolves,0,50
52,25,3,18,Sheep,0,100
52,25,3,18,Grass,0,190
53,25,3,18,Wolves,0,50
53,25,3,18,Sheep,0,100
53,25,3,18,Grass,0,195
54,25,3,18,Wolves,0,50
54,25,3,18,Sheep,0,100
54,25,3,18,Grass,0,192
55,25,3,18,Wolves,0,50
55,25,3,18,Sheep,0,100
55,25,3,18,Grass,0,216
56,25,3,18,Wolves,0,50
56,25,3,18,Sheep,0,100
56,25,3,18,Grass,0,193
57,25,3,18,Wolves,0,50
57,25,3,18,Sheep,0,100
57,25,3,18,Grass,0,201
58,25,3,18,Wolves,0,50
58,25,3,18,Sheep,0,100
58,25,3,18,Grass,0,193
59,25,3,18,Wolves,0,50
59,25,3,18,Sheep,0,100
59,25,3,18,Grass,0,213
60,25,3,20,Wolves,0,50
60,25,3,20,Sheep,0,100
60,25,3,20,Grass,0,194
61,25,3,20,Wolves,0,50
61,25,3,20,Sheep,0,100
61,25,3,20,Grass,0,196
