,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,228,122,0.35,0.375
1,78.9,94.7,49.2,0.0,0.0,0.0,0.0,0.0,0.0,350,228,122,0.35,0.375
2,86.9,97.8,66.4,55.0,65.8,35.2,48.3,57.4,31.4,350,228,122,0.35,0.375
3,90.3,98.7,74.6,62.6,71.1,47.4,54.5,60.9,42.5,350,228,122,0.35,0.375
4,92.6,98.7,81.1,66.3,74.2,52.4,57.9,63.3,47.7,350,228,122,0.35,0.375
5,95.4,100.0,86.9,69.0,76.2,56.7,60.4,64.6,52.4,350,228,122,0.35,0.375
6,96.6,100.0,90.2,71.2,77.6,60.2,62.4,65.9,55.8,350,228,122,0.35,0.375
7,97.4,100.0,92.6,72.5,78.2,62.9,63.5,65.9,58.9,350,228,122,0.35,0.375
8,97.4,100.0,92.6,72.7,78.0,63.9,63.8,65.9,59.7,350,228,122,0.35,0.375
9,97.7,100.0,93.4,72.9,78.3,64.0,64.1,65.9,60.8,350,228,122,0.35,0.375
10,98.0,100.0,94.3,73.0,78.5,64.0,64.2,65.9,61.0,350,228,122,0.35,0.375
11,98.0,100.0,94.3,73.3,78.6,64.5,64.2,65.9,61.2,350,228,122,0.35,0.375
12,98.3,100.0,95.1,73.5,78.8,64.8,64.5,65.9,61.8,350,228,122,0.35,0.375
13,98.6,100.0,95.9,74.0,79.2,65.6,64.9,65.9,62.9,350,228,122,0.35,0.375
14,98.6,100.0,95.9,74.4,79.3,66.5,65.3,65.9,64.2,350,228,122,0.35,0.375
15,98.6,100.0,95.9,74.2,79.0,66.3,65.3,65.9,64.2,350,228,122,0.35,0.375
16,98.6,100.0,95.9,74.3,79.1,66.6,65.3,65.9,64.2,350,228,122,0.35,0.375
17,98.9,100.0,96.7,74.4,79.2,66.6,65.4,65.9,64.4,350,228,122,0.35,0.375
18,98.9,100.0,96.7,74.2,78.9,66.5,65.5,65.9,64.7,350,228,122,0.35,0.375
19,98.9,100.0,96.7,74.1,78.9,66.4,65.4,65.9,64.4,350,228,122,0.35,0.375
20,98.9,100.0,96.7,74.3,79.2,66.4,65.4,65.9,64.4,350,228,122,0.35,0.375
