,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,262,88,0.25,0.25
1,89.4,100.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,350,262,88,0.25,0.25
2,92.6,100.0,70.5,61.1,73.9,24.3,54.0,64.8,22.0,350,262,88,0.25,0.25
3,92.9,100.0,71.6,63.6,75.6,30.2,55.5,64.8,27.7,350,262,88,0.25,0.25
4,94.6,100.0,78.4,63.8,75.6,31.0,55.6,64.8,28.4,350,262,88,0.25,0.25
5,95.7,100.0,83.0,63.4,74.8,32.0,56.1,64.8,30.1,350,262,88,0.25,0.25
6,95.1,100.0,80.7,64.8,75.9,35.1,56.9,64.8,33.2,350,262,88,0.25,0.25
7,96.3,100.0,85.2,65.2,76.2,35.3,56.8,64.8,33.1,350,262,88,0.25,0.25
8,96.6,100.0,86.4,65.1,76.2,35.2,56.9,64.8,33.2,350,262,88,0.25,0.25
9,97.4,100.0,89.8,65.6,76.6,36.5,57.2,64.8,34.8,350,262,88,0.25,0.25
10,97.1,100.0,88.6,65.5,76.2,37.3,57.5,64.8,35.8,350,262,88,0.25,0.25
11,97.1,100.0,88.6,65.5,76.2,37.1,57.4,64.8,35.4,350,262,88,0.25,0.25
12,97.1,100.0,88.6,65.5,76.1,37.3,57.4,64.8,35.5,350,262,88,0.25,0.25
13,97.4,100.0,89.8,65.7,76.4,37.4,57.5,64.8,35.8,350,262,88,0.25,0.25
14,97.4,100.0,89.8,65.7,76.3,37.6,57.5,64.8,35.8,350,262,88,0.25,0.25
15,98.0,100.0,92.0,65.6,76.3,37.4,57.5,64.8,35.8,350,262,88,0.25,0.25
16,98.0,100.0,92.0,65.7,76.4,37.5,57.5,64.8,35.9,350,262,88,0.25,0.25
17,98.6,100.0,94.3,65.8,76.3,38.0,57.6,64.8,36.4,350,262,88,0.25,0.25
18,98.3,100.0,93.2,66.0,76.4,38.7,57.9,64.8,37.2,350,262,88,0.25,0.25
19,98.9,100.0,95.5,66.3,76.9,38.6,57.8,64.8,37.1,350,262,88,0.25,0.25
20,99.1,100.0,96.6,66.2,76.7,39.0,58.0,64.8,37.6,350,262,88,0.25,0.25
21,98.9,100.0,95.5,66.4,76.7,39.7,58.1,64.8,38.4,350,262,88,0.25,0.25
22,98.9,100.0,95.5,66.5,76.9,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
23,98.9,100.0,95.5,66.1,76.4,39.3,58.1,64.8,38.1,350,262,88,0.25,0.25
24,98.9,100.0,95.5,66.2,76.6,39.1,58.0,64.8,37.8,350,262,88,0.25,0.25
25,98.9,100.0,95.5,66.1,76.4,39.4,58.1,64.8,38.1,350,262,88,0.25,0.25
26,98.9,100.0,95.5,66.2,76.6,39.2,58.1,64.8,38.1,350,262,88,0.25,0.25
